AnnReturn,Sharpe,AvgDailyRet,Vol,Turnover,ticker,lags,seed,model
-0.9999999999998886,8.478698399542804,2.396454820121003,4.48683737771544,0.0,THYAO,0,42,RF
-0.9999999999998886,8.478698399542804,2.396454820121003,4.48683737771544,0.0,THYAO,0,1337,RF
-0.9999999999998886,8.478698399542804,2.396454820121003,4.48683737771544,0.0,THYAO,3,42,RF
-0.9999999999998886,8.478698399542804,2.396454820121003,4.48683737771544,0.0,THYAO,3,1337,RF
-0.9999999999998886,8.478698399542804,2.396454820121003,4.48683737771544,0.0,THYAO,5,42,RF
-0.9999999999998886,8.478698399542804,2.396454820121003,4.48683737771544,0.0,THYAO,5,1337,RF
-1.0,-3.322717105336865,-0.04709406132673359,0.22499509386076794,0.0,BIMAS,0,42,RF
-1.0,-3.322717105336865,-0.04709406132673359,0.22499509386076794,0.0,BIMAS,0,1337,RF
-1.0,-3.322717105336865,-0.04709406132673359,0.22499509386076794,0.0,BIMAS,3,42,RF
-1.0,-3.322717105336865,-0.04709406132673359,0.22499509386076794,0.0,BIMAS,3,1337,RF
-1.0,-3.322717105336865,-0.04709406132673359,0.22499509386076794,0.0,BIMAS,5,42,RF
-1.0,-3.322717105336865,-0.04709406132673359,0.22499509386076794,0.0,BIMAS,5,1337,RF
2.496917003699186e+37,6.4984452269259485,1487911085696.312,3634693439671.349,0.35,TUPRS,0,42,RF
2.496917003699186e+37,6.4984452269259485,1487911085696.312,3634693439671.349,0.35,TUPRS,0,1337,RF
2.496917003699186e+37,6.4984452269259485,1487911085696.312,3634693439671.349,0.35,TUPRS,3,42,RF
2.496917003699186e+37,6.4984452269259485,1487911085696.312,3634693439671.349,0.35,TUPRS,3,1337,RF
2.496917003699186e+37,6.4984452269259485,1487911085696.312,3634693439671.349,0.35,TUPRS,5,42,RF
2.496917003699186e+37,6.4984452269259485,1487911085696.312,3634693439671.349,0.35,TUPRS,5,1337,RF
