model,MAE_mean,MAE_std,RMSE_mean,RMSE_std,MAPE_mean,MAPE_std,R2_mean,R2_std,DA(%)_mean,DA(%)_std,fold_mean,fold_std,ticker,lags,seed
GBM,9267270067939948.0,3895836271250160.0,1.0893483540163104e+16,4710697277138828.0,24182304037965.76,35956908508620.164,-7.956613919310874e+21,1.7791529594300142e+22,61.0,20.12461179749811,3.0,1.5811388300841898,THYAO,0,42
RF,1.017844536914858e+16,2893481651076438.0,1.116875134300378e+16,3272315183020233.0,40145439918788.57,55308929224729.79,-2.9159241757144784e+22,6.520204674132615e+22,62.0,18.23458252881047,3.0,1.5811388300841898,THYAO,0,42
GBM,9344551983168444.0,3848965140970370.0,1.09894620298682e+16,4702757203668900.0,24914676615804.637,36398946980452.09,-9.057501866687565e+21,2.0253189880244632e+22,61.0,20.12461179749811,3.0,1.5811388300841898,THYAO,0,1337
RF,1.0081808178355636e+16,2837141624955202.0,1.1078350587612594e+16,3277219817942318.5,40774109122761.79,56251753425453.18,-2.9069964618939566e+22,6.500241699146263e+22,62.0,18.23458252881047,3.0,1.5811388300841898,THYAO,0,1337
GBM,9369280016467180.0,3509314632656975.0,1.0999450992049994e+16,4127780646836182.0,26111135859245.887,36239954539882.46,-1.3332916864111423e+22,2.981330844650647e+22,62.0,18.23458252881047,3.0,1.5811388300841898,THYAO,3,42
RF,1.0788133860039378e+16,2651413100127448.5,1.158797328568274e+16,2953605836337386.5,44584771777863.77,61059729413123.36,-4.12576973010069e+22,9.225501576016105e+22,62.0,18.23458252881047,3.0,1.5811388300841898,THYAO,3,42
GBM,9348515893933816.0,3513479896678534.0,1.0963734794542502e+16,4115633899977795.5,25675099857216.74,35737884563871.19,-1.332050367803015e+22,2.9785551718611388e+22,62.0,18.23458252881047,3.0,1.5811388300841898,THYAO,3,1337
RF,1.0647675172498108e+16,2697424579000152.5,1.1462652853475554e+16,3059701828646811.5,44319068281849.36,60737971745153.73,-3.7606884727307874e+22,8.409155067225904e+22,62.0,18.23458252881047,3.0,1.5811388300841898,THYAO,3,1337
GBM,9634818955440004.0,3122431574128734.0,1.1282219528801492e+16,3805019353490879.5,33112481944218.324,45450288882375.67,-2.021557800862245e+22,4.520340663172963e+22,60.0,18.708286933869708,3.0,1.5811388300841898,THYAO,5,42
RF,1.1009809076587286e+16,2629191049416988.0,1.1758219804978592e+16,2901515139950367.5,45512688928282.234,62366532084217.78,-4.343045695714586e+22,9.711345405005682e+22,62.0,18.23458252881047,3.0,1.5811388300841898,THYAO,5,42
GBM,9621286640825372.0,3041160704375889.0,1.1259176185008116e+16,3726302038902241.0,33740712081745.74,46259932597838.37,-2.1278622373105206e+22,4.758044609381113e+22,60.0,18.708286933869708,3.0,1.5811388300841898,THYAO,5,1337
RF,1.0900118711058656e+16,2462735892112858.0,1.1649865163509202e+16,2791314934035869.5,45335078801557.62,62216548592593.055,-4.5185838956910515e+22,1.010386075280101e+23,62.0,18.23458252881047,3.0,1.5811388300841898,THYAO,5,1337
GBM,1.0584110550090776e+16,6028643526918589.0,1.4085090176963654e+16,6808047322578363.0,63559537518924.234,140135321552537.2,-3.268898889186916e+27,7.309480127795496e+27,57.0,9.746794344808963,3.0,1.5811388300841898,BIMAS,0,42
RF,1.2559634680986396e+16,6823526030014106.0,1.5556542995128124e+16,6761554761581332.0,77658069890081.44,170973038745831.0,-3.811703237405832e+27,8.523227548895459e+27,54.0,9.617692030835672,3.0,1.5811388300841898,BIMAS,0,42
GBM,1.0748188068077514e+16,6215698406389630.0,1.4256631571670336e+16,7052019789213209.0,66076882157921.69,145763945699607.25,-3.542039197778764e+27,7.920240425202138e+27,57.0,9.746794344808963,3.0,1.5811388300841898,BIMAS,0,1337
RF,1.2343523536166656e+16,6630783532736569.0,1.5322529483360378e+16,6546937846944543.0,74186952964161.97,163212408085703.88,-3.5229673552826676e+27,7.877594488924698e+27,54.0,9.617692030835672,3.0,1.5811388300841898,BIMAS,0,1337
GBM,1.2435901184001828e+16,7216690418941976.0,1.6351767479409194e+16,7519953914993458.0,84344645549718.33,186781573290608.22,-5.469307215779633e+27,1.2229742724313368e+28,57.0,10.368220676663858,3.0,1.5811388300841898,BIMAS,3,42
RF,1.4270973652845148e+16,6407481293843285.0,1.6895375994639066e+16,5872564005909199.0,86802307668800.81,191446364132183.53,-4.3887046966719724e+27,9.813442034931124e+27,56.0,10.8397416943394,3.0,1.5811388300841898,BIMAS,3,42
GBM,1.2493647076816462e+16,7178167431877872.0,1.6430056421212858e+16,7542145223801944.0,84756771798410.6,187703089358837.53,-5.544578535410917e+27,1.2398054511765035e+28,58.0,10.36822067666386,3.0,1.5811388300841898,BIMAS,3,1337
RF,1.414471164636737e+16,6036900369256155.0,1.6768325319470212e+16,5565463298953557.0,82685201459637.95,182195489268290.38,-4.058324089515589e+27,9.074688538881798e+27,56.0,10.8397416943394,3.0,1.5811388300841898,BIMAS,3,1337
GBM,1.2965742014200606e+16,6194543474053479.0,1.6472553444819252e+16,6838741967629901.0,83599906124554.14,176712935803564.8,-4.964401704551952e+27,1.110073967899399e+28,58.0,11.510864433221338,3.0,1.5811388300841898,BIMAS,5,42
RF,1.4625215031112138e+16,6320776721650110.0,1.7008556744565276e+16,5974272470264839.0,88973016350465.69,190704073257474.62,-4.399113859011562e+27,9.836717629511279e+27,57.0,10.368220676663858,3.0,1.5811388300841898,BIMAS,5,42
GBM,1.2937061827024154e+16,6497322521227553.0,1.6422131967799132e+16,7239402104134150.0,84754734131462.78,181441668892732.28,-5.193685018888104e+27,1.1613432755956079e+28,58.0,11.510864433221338,3.0,1.5811388300841898,BIMAS,5,1337
RF,1.4587886906861808e+16,6113408465200319.0,1.701673882576513e+16,5764501049869164.0,86604066592855.97,184931599295550.7,-4.186436076749226e+27,9.361155651068795e+27,58.0,11.510864433221338,3.0,1.5811388300841898,BIMAS,5,1337
GBM,7280109975380502.0,2316974477047283.5,8328872362301114.0,3063468799182295.5,64345712293617.125,143881384693410.97,-0.521494231283579,0.5690216150128689,65.0,9.354143466934854,3.0,1.5811388300841898,TUPRS,0,42
RF,7332674762204250.0,2256923978601927.5,8435306989369453.0,2748360197707574.0,65969262145551.98,147511752958572.38,-0.5741059262758382,0.5127542790598661,65.0,10.000000000000002,3.0,1.5811388300841898,TUPRS,0,42
GBM,7261532956137840.0,2201384591139344.8,8234507901911635.0,2918090034082490.0,61393511342546.92,137280062683582.47,-0.4851529203646049,0.5174052694532668,65.0,9.354143466934854,3.0,1.5811388300841898,TUPRS,0,1337
RF,7465247571351734.0,2441877040634714.0,8596291185996496.0,2987188449123707.0,70161272080187.94,156885372149041.94,-0.6231309393230525,0.5551861229985312,66.0,9.617692030835673,3.0,1.5811388300841898,TUPRS,0,1337
GBM,7442744548219250.0,2671109135570580.0,8488605633365344.0,3458542472548129.0,68990436974988.2,154267304848944.0,-0.5779395563646051,0.6915850782198988,63.0,9.746794344808963,3.0,1.5811388300841898,TUPRS,3,42
RF,7337266412928787.0,2261919784842283.0,8416742263339838.0,2809794257486291.0,66213192791685.33,148057198404921.34,-0.562080765145194,0.5166664441893588,65.0,10.000000000000002,3.0,1.5811388300841898,TUPRS,3,42
GBM,7438615332323179.0,2733043632280435.5,8544319470969094.0,3510246821362454.5,68953545373189.86,154184812719520.2,-0.6040678314630918,0.7203527754584157,63.0,9.746794344808963,3.0,1.5811388300841898,TUPRS,3,1337
RF,7378850160565405.0,2404114940065288.0,8521498916637085.0,2968260370368715.0,69099556077005.0,154511302885722.4,-0.5921760938072117,0.5419322024398558,66.0,9.617692030835673,3.0,1.5811388300841898,TUPRS,3,1337
GBM,7417119513954419.0,2549663957961896.5,8550352900989437.0,3178960301224552.0,65696762309344.336,146902424358978.56,-0.6246212135168945,0.6633833756133165,63.0,9.746794344808963,3.0,1.5811388300841898,TUPRS,5,42
RF,7398435431682445.0,2240135449520294.2,8484193426739109.0,2781384766176136.5,66188487285811.86,148001955304198.5,-0.5917694233505781,0.5255208442825867,65.0,10.000000000000002,3.0,1.5811388300841898,TUPRS,5,42
GBM,7530315642381950.0,2665536349530555.0,8654159615454397.0,3315039088789930.5,66861050721478.05,149505852393923.75,-0.6614715346568465,0.7001651665487022,63.0,9.746794344808963,3.0,1.5811388300841898,TUPRS,5,1337
RF,7428730297081162.0,2432403989585186.5,8546261322288461.0,3038153192568804.5,69899130726254.89,156299206176075.28,-0.6003448182451387,0.5616669305978522,64.0,9.617692030835672,3.0,1.5811388300841898,TUPRS,5,1337
